uri,label_de,label_es
https://d-nb.info/gnd/7503236-3,!!!GESPERRT!!!Europäische Gemeinschaften / Internationale Politik,!!!BLOQUEADO!!!Comunidades Europeas / Política internacional
https://d-nb.info/gnd/4130189-4,!!!GESPERRT!!!Ökologische Religion,!!!BLOQUEADO!!!Religión ecológica
https://d-nb.info/gnd/7506096-6,!!!GESPERRT!!!Sowjetrepublik / Sowjetunion,!!!BLOQUEADO!!!República Soviética / Unión Soviética
https://d-nb.info/gnd/1144200199,"""entwürfe""-Literaturwettbewerb",Concurso literario «entwürfe»
https://d-nb.info/gnd/4640260-3,"""Friedliche Revolution"" <Föderative Republik Jugoslawien>",«Revolución pacífica»
https://d-nb.info/gnd/1240784317,"""Heimat lebt!"" <Preis, Auszeichnung>",«¡La patria vive!»
https://d-nb.info/gnd/1261334930,"""Lesezeichen""-Preis für Poesie & Politik",Premio «Lesezeichen» de poesía y política
https://d-nb.info/gnd/1374301302,"""Welt""-Literaturpreis",Premio literario «Welt»
https://d-nb.info/gnd/1262527686,#NoDAPL,#NoDAPL
https://d-nb.info/gnd/1358497605,'aguddā,'aguddā
https://d-nb.info/gnd/4689491-3,'amm <Wort>,'amm
https://d-nb.info/gnd/1358891001,'appayim,'appayim
https://d-nb.info/gnd/1358652740,'argaz,'argaz
https://d-nb.info/gnd/1358911215,'arôn,'arôn
https://d-nb.info/gnd/4609584-6,'Aṣabiyya,'Aṣabiyya
https://d-nb.info/gnd/1358418276,'eḥād,'eḥād
https://d-nb.info/gnd/1358418160,'ēlem,'ēlem
https://d-nb.info/gnd/1358416486,'ēn,'ēn
https://d-nb.info/gnd/4694457-6,'ilm <Islamische Philosophie>,'ilm
https://d-nb.info/gnd/1358907552,'ōben,'ōben
https://d-nb.info/gnd/4239198-2,'sk,'sk
https://d-nb.info/gnd/4667277-1,'t Hooft-Eigenwertproblem,Problema de valores propios de 't Hooft
https://d-nb.info/gnd/4689490-1,'z'r,'z'r
https://d-nb.info/gnd/4579878-3,007 <Computerspiel>,007
https://d-nb.info/gnd/1234193655,0G-Netz,Red 0G
https://d-nb.info/gnd/7619080-8,1 Click Wipe,Borrado con un clic
https://d-nb.info/gnd/1143851773,1-Bit-Quantisierung,Cuantización de 1 bit
https://d-nb.info/gnd/7716770-3,1-Wire,1-Wire
https://d-nb.info/gnd/1208793918,100 Jahre Bauhaus,100 años de la Bauhaus
https://d-nb.info/gnd/1070753025,1000 Jahre Kloster Michaelsberg,1000 años del monasterio de Michaelsberg
https://d-nb.info/gnd/4647598-9,1001-Christen-Preis,Premio 1001-Christen
https://d-nb.info/gnd/4523027-4,100Cr6,100Cr6
https://d-nb.info/gnd/1302981390,1200 Jahre Corvey,1200 años de Corvey
https://d-nb.info/gnd/4819439-6,125 Jahre Kunstmuseum Bern,125 años del Museo de Arte de Berna
https://d-nb.info/gnd/1253612420,150 Jahre Universität für Bodenkultur Wien <2022>,150 años de la Universidad de Recursos Naturales y Ciencias de la Vida de Viena
https://d-nb.info/gnd/7668764-8,1click Foto-Total,1click Foto-Total
https://d-nb.info/gnd/7500065-9,1st Page 2000,1st Page 2000
https://d-nb.info/gnd/1347938982,2 Siliquen,2 silícuas
https://d-nb.info/gnd/1343277477,2-Kategorie,2 categorías
https://d-nb.info/gnd/1183858035,2. Sonntag vor der Passionszeit,Segundo domingo antes de la Cuaresma
https://d-nb.info/gnd/1237064988,24-Stunden-Betreuung,Atención 24 horas
https://d-nb.info/gnd/7860051-0,242 A 1,242 A 1
https://d-nb.info/gnd/1237137020,25 Jahre Autorenforum,25 años del Foro de Autores
https://d-nb.info/gnd/135363261X,25 Jahre Kreis Warendorf,25 años del distrito de Warendorf
https://d-nb.info/gnd/131229177X,28.-Februar-Prozess,Proceso del 28 de febrero
https://d-nb.info/gnd/7679805-7,2D2 5500,2D2 5500
https://d-nb.info/gnd/1237928176,3 D bioprinting,Bioimpresión 3D
https://d-nb.info/gnd/4726839-6,3-4-1-2-System,Sistema 3-4-1-2
https://d-nb.info/gnd/4726384-2,3-4-3-System,Sistema 3-4-3
https://d-nb.info/gnd/1345127529,3-Omega-Methode,Método de 3 omega
https://d-nb.info/gnd/1178165337,3-Omega-Mikroskopie,Microscopía 3-Omega
https://d-nb.info/gnd/1183857802,3. Sonntag vor der Passionszeit,Tercer domingo antes del tiempo de Pasión
https://d-nb.info/gnd/1043652957,300 Jahre Immerwährender Reichstag,300 años del Reichstag Perpetuo
https://d-nb.info/gnd/7777764-5,300-Jahr-Feier des Westfälischen Friedens,300.º aniversario de la Paz de Westfalia
https://d-nb.info/gnd/4641716-3,360-Grad-Feedback,Evaluación de 360 grados
https://d-nb.info/gnd/1260695980,360-Grad-Video,Vídeo de 360 grados
https://d-nb.info/gnd/4530616-3,3COM <Marke>,3COM
https://d-nb.info/gnd/7541931-2,3D Slicer,3D Slicer
https://d-nb.info/gnd/1032223197,3D-Druck,Impresión 3D
https://d-nb.info/gnd/1051019354,3D-Drucker,Impresora 3D
https://d-nb.info/gnd/4605743-2,3D-Grafik-Software,Software de gráficos 3D
https://d-nb.info/gnd/7704418-6,3D-Scanner,Escáner 3D
https://d-nb.info/gnd/1121142877,3D-Sensor,Sensor 3D
https://d-nb.info/gnd/1124023283,3D-Technologie,Tecnología 3D
https://d-nb.info/gnd/1177444216,3D-Zellkultur,Cultivo celular 3D
https://d-nb.info/gnd/7715189-6,3ds MAX 2011,3ds MAX 2011
https://d-nb.info/gnd/7845559-5,3ds MAX 2012,3ds MAX 2012
https://d-nb.info/gnd/1027433995,3ds MAX 2013,3ds MAX 2013
https://d-nb.info/gnd/1052596363,3ds MAX 2014,3ds MAX 2014
https://d-nb.info/gnd/1080131965,3ds Max 2015,3ds Max 2015
https://d-nb.info/gnd/1080132023,3ds Max 2016,3ds Max 2016
https://d-nb.info/gnd/124311066X,3x3 Basketball,Baloncesto 3x3
https://d-nb.info/gnd/1345952783,4 Siliquen,4 Siliquen
https://d-nb.info/gnd/4726842-6,4-2-3-1-System,Sistema 4-2-3-1
https://d-nb.info/gnd/7705772-7,4-2-4-System,Sistema 4-2-4
https://d-nb.info/gnd/4724523-2,4-4-2-System,Sistema 4-4-2
https://d-nb.info/gnd/110323644X,4-D-Lichtfeld,Campo de luz 4D
https://d-nb.info/gnd/106249069X,40-Fuß-Spiegelteleskop,Telescopio reflector de 40 pies
https://d-nb.info/gnd/1127660101,48-Volt-Bordnetz,Red eléctrica de a bordo de 48 voltios
https://d-nb.info/gnd/1370636873,4D-Druck,Impresión 4D
